Food_Item,Category,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_IU,Vitamin_B12_mcg,Iron_mg,Calcium_mg,Zinc_mg,Folate_mcg,Magnesium_mg,Tags,Allergens,Health_Benefits
Muskmelon (86g),Fruit,549.3,18.0,3.2,5.3,6.9,201.2,40.1,358.6,0.36,6.4,280.5,3.4,110.2,106.5,Low-Fat,Soy,Boosts Immunity
Green Peas (111g),Legume,297.3,10.4,21.9,48.9,1.0,181.5,34.6,275.7,1.87,1.3,165.2,5.0,136.7,48.9,Vegan,None,Improves Digestion
Soybeans (101g),Legume,66.7,11.8,23.0,39.2,2.3,32.4,34.6,76.4,1.67,9.0,192.9,1.9,38.5,96.8,Vegetarian,Dairy,Boosts Immunity
Apple (81g),Fruit,437.4,15.0,14.7,4.7,6.6,246.9,48.1,333.7,1.08,10.0,20.7,0.4,316.2,11.2,Vegan,Dairy,Energy Boost
Cucumber (114g),Vegetable,106.4,14.7,27.8,3.2,1.9,523.4,42.4,367.2,0.11,7.0,47.9,0.9,24.7,49.6,Vegan,Nuts,Energy Boost
Mango (117g),Fruit,57.1,20.5,3.5,36.1,7.5,51.4,18.2,134.9,2.01,7.4,126.6,0.7,275.2,84.2,High-Protein,Dairy,Boosts Immunity
Papaya (91g),Fruit,214.6,3.5,4.3,25.5,8.4,443.2,39.5,370.3,0.1,1.1,255.7,3.1,312.2,7.3,Low-Fat,None,Boosts Immunity
Spinach (91g),Vegetable,557.2,17.8,17.9,17.7,8.4,634.0,42.8,50.8,0.34,2.8,140.6,1.3,73.9,105.3,Diabetic-Friendly,Dairy,Heart Healthy
Pineapple (85g),Fruit,383.8,19.7,10.5,1.3,3.0,94.9,47.7,38.3,0.87,7.6,166.5,1.2,309.3,100.6,High-Protein,None,Supports Bone Health
Tomato (89g),Vegetable,417.4,24.2,14.3,11.4,8.1,35.4,58.0,114.0,1.04,3.4,243.5,3.8,22.1,112.4,Diabetic-Friendly,Dairy,Supports Bone Health
Lentils (Toor Dal) (111g),Legume,318.6,2.2,7.1,27.2,7.0,335.8,67.2,359.3,0.55,1.2,76.1,1.3,168.0,34.0,Vegetarian,None,Heart Healthy
Papaya (111g),Fruit,51.5,11.2,6.6,37.0,2.3,299.4,41.2,77.7,0.86,2.8,107.4,0.3,229.6,45.7,Vegan,Nuts,Heart Healthy
Bitter Gourd (90g),Vegetable,461.0,5.9,8.9,10.3,9.6,762.3,81.5,231.2,1.33,2.4,129.4,2.7,345.6,36.4,Low-Fat,Nuts,Improves Digestion
Spinach (107g),Vegetable,447.0,6.5,9.9,35.2,10.7,473.8,13.4,229.5,0.01,9.8,21.6,2.4,308.6,9.9,Diabetic-Friendly,Nuts,Heart Healthy
Cabbage (108g),Vegetable,307.3,2.5,22.6,41.9,5.0,175.2,32.3,95.6,2.4,0.3,204.0,0.9,186.4,87.7,Diabetic-Friendly,None,Heart Healthy
Cucumber (88g),Vegetable,527.0,10.4,23.7,22.9,5.7,507.1,77.4,28.3,2.14,3.4,19.5,2.2,111.6,142.2,Diabetic-Friendly,Soy,Supports Bone Health
Chapati (Whole Wheat) (119g),Grain,530.9,18.5,1.7,56.8,8.2,710.5,10.0,146.2,1.49,3.7,60.8,2.8,31.5,107.9,Vegetarian,Dairy,Improves Digestion
Paneer (114g),Dairy,85.9,12.2,28.2,35.2,11.5,168.6,67.1,90.2,0.85,2.7,207.3,1.5,30.0,55.1,Low-Fat,Soy,Energy Boost
Tomato (110g),Vegetable,431.7,17.1,16.0,18.2,7.5,640.1,85.1,323.5,2.26,0.7,268.7,2.3,36.7,135.2,High-Protein,None,Boosts Immunity
Mango (97g),Fruit,85.0,4.1,4.6,13.1,11.4,19.1,37.5,273.0,2.24,4.8,131.8,3.7,13.5,32.4,Vegan,Dairy,Energy Boost
Muskmelon (101g),Fruit,258.8,8.9,19.4,20.3,7.2,557.8,75.8,178.1,0.73,1.4,238.9,0.9,107.7,75.2,High-Protein,None,Supports Bone Health
Mutton (98g),Meat,284.4,4.6,27.7,43.0,3.6,778.6,75.5,277.1,1.6,1.6,79.0,0.3,130.1,23.3,High-Protein,Gluten,Supports Bone Health
Orange (115g),Fruit,430.1,16.8,29.3,9.7,5.5,780.4,48.0,48.6,0.06,9.3,232.9,4.7,371.5,27.6,Diabetic-Friendly,Soy,Improves Digestion
Muskmelon (98g),Fruit,294.9,7.6,28.3,58.9,7.0,118.5,50.9,362.8,1.06,6.9,222.2,4.5,60.1,84.9,High-Protein,None,Heart Healthy
Pineapple (94g),Fruit,278.7,2.8,1.7,38.8,7.1,178.5,84.2,111.2,0.05,5.4,139.2,3.4,39.5,79.2,Vegetarian,Nuts,Improves Digestion
Guava (118g),Fruit,316.7,1.9,20.0,24.5,8.6,342.7,34.8,4.9,0.83,3.2,139.2,2.8,90.2,133.7,Low-Fat,Nuts,Improves Digestion
Mango (107g),Fruit,442.6,10.6,25.1,36.3,1.9,243.3,89.0,210.1,0.81,9.3,181.3,1.9,7.6,97.6,High-Protein,Nuts,Supports Bone Health
Tofu (109g),Soy Product,431.9,19.0,4.2,12.0,4.7,443.5,3.8,330.5,2.0,3.1,172.2,2.4,15.6,5.4,High-Protein,Gluten,Heart Healthy
Tomato (98g),Vegetable,262.0,12.6,20.7,15.4,1.6,222.5,89.5,26.7,1.79,5.9,174.0,4.4,253.1,74.0,Vegan,Gluten,Energy Boost
Mushroom (81g),Fungus,510.3,4.5,1.8,19.9,10.6,109.3,14.7,109.1,1.01,9.1,113.2,1.5,214.2,140.8,Diabetic-Friendly,Dairy,Supports Bone Health
Cabbage (118g),Vegetable,456.5,13.8,26.2,49.8,8.3,241.6,61.7,275.3,0.23,5.8,248.8,0.2,209.7,59.1,Low-Fat,Nuts,Improves Digestion
Mango (86g),Fruit,146.4,12.8,25.0,47.9,6.8,552.0,85.7,338.4,1.71,7.1,242.7,2.1,366.8,21.9,Vegetarian,None,Heart Healthy
Mutton (99g),Meat,420.8,3.9,13.3,59.3,6.4,776.1,15.5,121.9,1.79,1.3,47.3,3.5,276.8,49.6,Vegetarian,Dairy,Boosts Immunity
Brinjal (87g),Vegetable,65.1,19.5,22.7,3.5,1.5,634.7,46.2,23.7,0.29,2.6,29.2,3.4,303.0,118.4,Diabetic-Friendly,Dairy,Energy Boost
Apple (91g),Fruit,408.9,1.2,4.5,45.0,3.5,464.2,31.7,342.1,1.87,6.2,156.4,0.4,328.7,115.7,Diabetic-Friendly,Dairy,Supports Bone Health
Cashews (90g),Nut,543.0,13.7,29.2,6.8,2.7,403.9,63.7,146.6,1.41,4.5,287.7,1.0,145.2,60.0,Vegetarian,Soy,Supports Bone Health
Bitter Gourd (87g),Vegetable,461.6,8.2,14.0,31.7,6.1,289.6,25.9,288.9,0.2,5.0,121.6,2.3,295.8,104.6,Low-Fat,Dairy,Energy Boost
Bitter Gourd (98g),Vegetable,591.3,11.0,25.7,53.8,9.7,751.3,33.1,5.1,1.62,6.8,124.9,2.7,272.2,22.3,Low-Fat,Nuts,Energy Boost
Cabbage (90g),Vegetable,57.5,24.4,10.2,36.1,11.9,99.1,75.4,290.1,0.67,7.2,178.8,1.4,316.8,98.4,Low-Fat,Gluten,Heart Healthy
Guava (105g),Fruit,592.8,13.0,4.5,27.8,1.6,392.0,20.8,377.0,0.07,7.4,250.8,2.5,15.6,31.0,Diabetic-Friendly,Gluten,Supports Bone Health
Groundnuts (119g),Nut,381.5,19.1,19.9,31.7,6.0,373.4,26.4,199.2,1.21,5.5,244.7,2.7,12.0,115.8,Low-Fat,None,Heart Healthy
Beetroot (100g),Vegetable,514.7,11.3,1.2,11.4,8.0,623.7,79.6,65.7,1.03,3.2,122.8,3.8,229.7,76.1,Diabetic-Friendly,Soy,Energy Boost
Sweet Potato (110g),Root,346.1,4.3,1.8,16.5,7.2,302.9,60.9,306.6,0.68,0.7,181.2,0.7,149.7,122.4,Diabetic-Friendly,None,Improves Digestion
Fish (Pomfret) (86g),Seafood,268.3,24.8,12.4,4.3,3.1,188.5,28.1,34.0,1.65,8.7,43.2,0.9,217.7,10.4,Low-Fat,Soy,Energy Boost
Bitter Gourd (97g),Vegetable,31.8,12.0,0.8,19.7,6.9,258.6,8.8,195.3,1.66,2.1,154.1,4.1,268.6,29.2,High-Protein,Gluten,Heart Healthy
Apple (111g),Fruit,388.6,24.4,2.4,51.2,2.7,212.9,26.8,229.4,1.93,6.3,287.8,3.6,233.4,90.8,High-Protein,None,Energy Boost
Rajma (Kidney Beans) (110g),Legume,267.7,9.0,2.4,49.6,6.2,240.6,59.7,125.3,0.99,2.6,159.5,3.4,221.3,132.7,Diabetic-Friendly,Dairy,Energy Boost
Potato (93g),Root,403.3,20.7,28.1,16.8,7.7,647.3,76.7,362.7,2.24,7.3,27.4,1.1,187.7,39.9,High-Protein,Nuts,Heart Healthy
Egg (84g),Protein,387.7,21.2,8.1,17.9,2.1,549.8,21.3,95.4,0.36,0.4,241.1,1.6,196.7,148.7,Low-Fat,None,Supports Bone Health
Mango (97g),Fruit,99.1,6.8,24.1,39.9,2.3,682.2,86.7,194.3,0.05,8.6,34.3,3.0,347.5,135.6,Low-Fat,Gluten,Boosts Immunity
Bottle Gourd (88g),Vegetable,156.9,14.5,15.1,8.1,8.0,464.8,69.8,210.1,1.19,1.0,183.9,3.9,128.8,125.7,Low-Fat,Dairy,Heart Healthy
Orange (89g),Fruit,82.0,5.7,8.3,25.1,10.4,45.7,48.0,279.8,0.27,5.5,147.7,1.3,114.7,118.7,Vegetarian,Gluten,Heart Healthy
Fish (Rohu) (99g),Seafood,32.2,24.2,18.2,50.6,8.0,752.7,62.2,315.5,0.58,5.6,99.7,4.8,148.3,122.8,Vegan,Soy,Supports Bone Health
Beetroot (104g),Vegetable,24.6,24.0,27.8,55.2,3.8,749.1,68.1,119.0,2.06,1.7,137.3,1.7,325.8,98.4,Vegan,Gluten,Boosts Immunity
Potato (110g),Root,447.4,23.2,10.0,25.9,11.0,81.2,14.4,104.4,0.16,4.3,221.5,2.8,134.1,105.8,Vegan,Dairy,Heart Healthy
Muskmelon (88g),Fruit,21.8,5.4,9.2,35.0,1.5,200.4,64.2,307.0,1.56,1.4,182.3,2.1,376.1,70.5,Vegetarian,Gluten,Supports Bone Health
Papaya (100g),Fruit,483.7,5.4,12.5,11.7,10.5,755.9,79.6,89.8,2.28,9.2,197.7,3.2,363.2,146.2,Vegetarian,Gluten,Supports Bone Health
Brown Rice (105g),Grain,378.4,15.2,4.6,57.5,2.2,454.2,1.3,210.3,1.86,9.3,249.9,2.5,93.7,34.5,High-Protein,Gluten,Heart Healthy
Fish (Pomfret) (88g),Seafood,270.2,5.6,6.5,49.6,8.8,152.3,16.2,317.0,0.07,9.8,78.3,2.3,103.1,89.5,Low-Fat,None,Boosts Immunity
Sweet Potato (88g),Root,525.4,24.4,12.0,13.5,4.7,339.2,53.7,29.2,1.34,0.6,280.0,2.4,144.9,92.9,Diabetic-Friendly,None,Boosts Immunity
Curd (112g),Dairy,379.4,7.9,11.9,22.9,11.6,448.1,52.2,104.1,1.21,9.3,264.6,0.7,130.3,81.9,Vegetarian,Gluten,Boosts Immunity
Egg (82g),Protein,587.5,12.7,29.2,17.6,4.5,344.6,81.3,105.3,1.99,9.3,159.9,2.2,70.2,111.8,Low-Fat,Dairy,Energy Boost
Watermelon (108g),Fruit,50.9,4.1,7.0,3.1,3.3,565.1,39.3,398.1,2.23,0.5,113.4,3.6,196.7,76.5,Vegetarian,None,Improves Digestion
Chapati (Whole Wheat) (93g),Grain,523.5,4.9,5.1,31.0,3.4,712.8,52.7,233.4,2.33,5.3,175.5,2.1,35.4,116.4,Vegan,Gluten,Boosts Immunity
Cashews (87g),Nut,248.6,15.0,28.5,50.4,2.0,65.8,74.8,263.8,1.09,9.6,182.3,0.1,388.1,100.1,Low-Fat,Gluten,Energy Boost
Carrot (93g),Vegetable,520.7,20.1,8.6,48.1,9.0,438.2,54.2,37.0,0.61,2.5,233.6,2.1,13.1,35.2,Low-Fat,Nuts,Improves Digestion
Muskmelon (89g),Fruit,89.9,12.5,13.0,48.6,3.9,548.3,11.8,266.2,2.0,5.2,152.0,4.4,193.2,86.6,Low-Fat,None,Heart Healthy
Fish (Rohu) (119g),Seafood,128.1,16.0,2.9,31.3,11.7,541.5,58.3,285.5,2.23,5.3,197.7,0.5,189.9,16.5,Low-Fat,Gluten,Supports Bone Health
Carrot (99g),Vegetable,508.1,13.3,8.9,3.8,1.1,37.0,9.7,170.0,0.23,6.6,174.9,1.3,105.7,16.9,Diabetic-Friendly,None,Boosts Immunity
Cucumber (91g),Vegetable,476.0,21.2,1.5,25.6,8.5,251.8,65.2,302.9,1.08,8.1,109.0,4.6,325.0,35.6,Vegan,Soy,Improves Digestion
Cabbage (107g),Vegetable,329.9,0.6,3.6,11.1,5.8,553.8,78.2,386.3,1.44,4.9,189.4,4.9,147.5,102.7,Low-Fat,Gluten,Boosts Immunity
Carrot (88g),Vegetable,28.0,3.2,0.6,58.3,10.3,168.2,58.4,259.9,1.05,6.3,239.1,1.0,123.9,72.2,Low-Fat,Nuts,Boosts Immunity
Tomato (90g),Vegetable,543.4,18.6,13.4,29.6,0.4,360.2,21.8,117.9,1.99,4.0,106.8,0.6,339.8,67.6,Low-Fat,Nuts,Energy Boost
Guava (115g),Fruit,599.4,1.4,12.1,31.3,8.8,748.3,81.5,347.1,0.56,0.7,15.5,2.9,223.5,43.8,Low-Fat,Nuts,Boosts Immunity
Potato (119g),Root,564.6,9.0,21.0,2.2,3.6,154.6,30.9,92.8,0.53,9.1,108.4,3.1,337.8,100.3,Vegetarian,Gluten,Heart Healthy
Bitter Gourd (103g),Vegetable,481.7,20.1,25.4,37.7,3.5,599.7,60.0,51.6,0.48,6.1,39.3,2.1,397.5,49.0,Vegetarian,Soy,Boosts Immunity
Lentils (Toor Dal) (102g),Legume,530.9,9.2,4.8,49.8,10.8,26.5,5.7,172.2,1.48,1.3,75.0,1.4,139.4,56.5,Vegan,Soy,Improves Digestion
Cauliflower (112g),Vegetable,370.5,3.1,1.6,56.8,9.6,770.2,68.0,389.9,1.88,6.1,258.9,0.6,227.2,78.6,Vegetarian,None,Supports Bone Health
Fish (Rohu) (90g),Seafood,442.4,17.9,22.9,30.4,10.5,124.3,32.7,327.7,0.3,2.1,291.2,3.9,7.6,126.0,Low-Fat,Gluten,Improves Digestion
Green Peas (90g),Legume,69.4,9.6,22.7,22.3,8.0,122.1,67.8,168.7,0.55,8.0,129.9,2.1,186.2,128.6,High-Protein,None,Heart Healthy
Cauliflower (80g),Vegetable,436.2,13.2,2.2,21.0,4.9,618.1,39.1,157.3,0.09,9.2,53.8,2.9,391.2,147.1,Diabetic-Friendly,Gluten,Heart Healthy
Bottle Gourd (115g),Vegetable,526.7,18.2,9.5,21.3,10.0,720.3,54.9,58.7,0.97,6.5,267.4,3.2,249.2,69.1,High-Protein,Nuts,Supports Bone Health
Groundnuts (85g),Nut,41.4,8.7,21.8,44.7,1.7,793.5,25.6,37.1,1.32,5.3,229.5,0.9,16.0,120.5,Diabetic-Friendly,Gluten,Supports Bone Health
Groundnuts (107g),Nut,592.4,3.2,1.9,23.0,7.6,284.2,4.3,260.4,0.3,3.0,223.7,2.3,393.3,121.8,Diabetic-Friendly,Soy,Energy Boost
Guava (94g),Fruit,223.2,7.5,23.6,43.2,8.1,571.8,46.8,99.1,0.79,5.9,248.6,1.9,43.7,108.2,Low-Fat,None,Boosts Immunity
Brown Rice (107g),Grain,535.3,12.2,13.4,22.8,6.4,471.0,46.7,157.9,0.63,5.0,132.8,2.3,372.8,76.0,Low-Fat,Dairy,Supports Bone Health
Green Peas (88g),Legume,301.2,11.7,29.0,31.3,6.4,555.9,41.0,13.0,0.38,5.6,277.3,0.7,341.7,21.0,High-Protein,Soy,Improves Digestion
Chickpeas (113g),Legume,108.9,9.6,29.7,18.9,5.9,633.2,12.8,235.8,0.12,9.0,267.8,1.2,328.6,75.9,Vegan,Soy,Improves Digestion
White Rice (82g),Grain,262.2,14.5,17.0,54.1,9.4,380.7,64.8,242.3,1.83,5.1,143.7,2.3,182.4,130.6,High-Protein,None,Energy Boost
Pineapple (106g),Fruit,244.6,22.6,10.2,3.7,8.1,355.0,25.0,35.4,0.4,0.3,192.7,3.9,127.0,98.5,Diabetic-Friendly,None,Supports Bone Health
Pineapple (114g),Fruit,354.6,1.8,17.2,12.2,5.8,717.6,10.8,374.5,0.43,0.3,238.2,1.3,283.7,133.7,Low-Fat,None,Energy Boost
Guava (100g),Fruit,253.0,1.6,25.9,2.4,5.4,332.5,77.4,127.0,0.62,1.2,38.8,0.9,61.9,42.1,Vegan,Dairy,Improves Digestion
Bitter Gourd (90g),Vegetable,54.2,24.0,5.5,43.1,3.7,79.9,12.8,357.2,0.62,9.4,270.9,0.4,99.7,91.6,Vegetarian,Nuts,Energy Boost
Green Peas (104g),Legume,570.6,7.1,9.6,33.6,1.0,24.1,57.0,365.5,0.04,5.6,180.0,0.6,306.4,99.5,Vegetarian,Gluten,Energy Boost
Bitter Gourd (108g),Vegetable,68.7,16.1,6.2,58.1,4.6,788.3,70.4,215.0,1.02,9.1,141.0,0.1,188.5,125.3,High-Protein,Dairy,Boosts Immunity
Brown Rice (110g),Grain,178.5,6.6,20.4,60.0,10.1,171.0,75.7,112.5,0.39,5.4,30.3,0.5,280.9,125.4,Diabetic-Friendly,Gluten,Heart Healthy
Orange (119g),Fruit,312.8,20.2,26.5,56.8,7.7,783.7,63.7,109.2,1.59,3.3,71.1,4.8,134.7,137.5,Vegetarian,None,Energy Boost
Sweet Potato (80g),Root,542.8,17.0,12.5,53.8,8.5,610.2,48.4,314.9,1.56,0.9,19.0,4.2,270.3,102.5,High-Protein,Nuts,Energy Boost
Mutton (104g),Meat,122.8,19.3,20.9,1.5,5.7,749.1,40.0,88.6,0.05,2.9,277.2,1.9,40.5,93.9,High-Protein,Dairy,Supports Bone Health
Potato (103g),Root,41.3,12.6,21.2,36.8,0.3,787.4,57.5,44.4,0.67,5.1,59.4,1.0,296.8,102.5,Diabetic-Friendly,Soy,Supports Bone Health
White Rice (117g),Grain,94.4,2.1,7.9,34.6,2.9,418.9,70.4,76.7,1.63,9.9,211.0,2.7,104.9,86.2,Low-Fat,None,Heart Healthy
Muskmelon (83g),Fruit,515.2,8.4,25.3,25.0,1.6,415.1,44.6,206.9,0.1,7.2,23.6,4.6,215.3,50.9,Low-Fat,Dairy,Improves Digestion
Chapati (Whole Wheat) (116g),Grain,488.5,24.8,6.8,41.7,11.5,733.7,17.7,131.7,0.15,6.3,18.1,2.2,14.5,120.6,High-Protein,Gluten,Supports Bone Health
Cabbage (110g),Vegetable,158.2,8.8,1.7,20.7,9.6,754.9,69.8,247.8,1.83,6.3,177.9,0.5,29.0,9.8,High-Protein,None,Supports Bone Health
Brown Rice (108g),Grain,51.8,15.5,13.0,7.0,0.9,42.7,76.5,160.7,1.48,4.2,260.7,4.0,251.5,70.7,Low-Fat,Nuts,Energy Boost
Pineapple (86g),Fruit,217.0,23.5,23.5,27.8,4.1,154.8,9.2,238.1,0.16,7.9,66.1,2.9,256.8,42.2,Low-Fat,Nuts,Energy Boost
Beetroot (91g),Vegetable,161.0,20.0,1.9,19.4,5.3,767.8,67.9,124.5,2.12,7.8,52.7,1.6,140.4,58.5,Vegan,Soy,Energy Boost
Cauliflower (83g),Vegetable,157.7,20.6,16.8,4.2,4.3,781.2,57.6,80.5,0.16,2.0,148.0,3.5,189.6,105.4,Diabetic-Friendly,Soy,Improves Digestion
Pineapple (99g),Fruit,262.8,4.5,13.7,47.6,0.7,176.3,0.3,89.2,0.55,6.3,79.3,3.7,381.3,53.1,Low-Fat,Dairy,Heart Healthy
Banana (80g),Fruit,230.4,2.3,1.0,7.8,3.6,156.3,52.7,306.2,0.11,0.4,67.4,1.0,354.7,109.2,High-Protein,Soy,Supports Bone Health
Banana (92g),Fruit,32.5,21.2,27.3,2.2,8.2,303.8,70.9,44.4,2.25,3.1,79.6,4.1,266.1,141.5,Diabetic-Friendly,Nuts,Boosts Immunity
Tomato (89g),Vegetable,532.0,3.7,5.8,32.4,8.4,255.0,38.7,254.5,2.21,7.7,180.3,4.3,121.2,26.5,Vegetarian,None,Improves Digestion
Carrot (112g),Vegetable,581.7,22.2,6.4,5.8,5.8,531.1,5.8,203.4,1.8,6.5,157.7,2.5,188.4,51.7,High-Protein,Soy,Heart Healthy
Potato (110g),Root,175.6,10.3,27.6,35.5,0.6,176.4,18.3,345.3,0.95,3.1,267.7,2.9,374.5,59.2,Diabetic-Friendly,None,Supports Bone Health
Chapati (Whole Wheat) (98g),Grain,277.8,9.1,17.6,28.4,7.5,341.5,42.1,163.6,1.93,3.2,120.9,1.0,97.3,98.6,High-Protein,None,Improves Digestion
Green Peas (112g),Legume,337.1,2.4,8.4,14.4,1.6,288.8,49.1,133.5,1.62,2.6,226.1,3.9,339.0,32.6,Diabetic-Friendly,Dairy,Energy Boost
Curd (80g),Dairy,466.6,7.4,10.5,59.8,11.4,657.7,68.2,4.8,1.57,9.9,285.9,4.3,94.9,109.9,Vegetarian,Nuts,Supports Bone Health
Rajma (Kidney Beans) (117g),Legume,475.9,19.1,21.7,28.2,9.5,251.1,16.9,308.1,1.68,2.2,140.5,2.8,153.0,88.7,Vegetarian,Gluten,Boosts Immunity
Potato (102g),Root,217.1,10.8,20.6,24.8,9.4,430.5,29.3,9.3,1.88,9.2,54.6,4.8,135.4,96.3,Diabetic-Friendly,Soy,Energy Boost
Bottle Gourd (104g),Vegetable,138.4,10.1,16.1,12.1,1.5,456.0,40.6,357.9,0.22,1.1,170.3,0.3,277.2,75.8,Vegetarian,Dairy,Boosts Immunity
Fish (Pomfret) (98g),Seafood,139.4,7.6,15.8,27.8,4.6,9.8,29.4,363.9,0.94,9.9,47.4,2.2,298.5,61.4,Vegetarian,Dairy,Supports Bone Health
Groundnuts (107g),Nut,494.4,16.8,4.8,34.9,3.9,163.2,64.5,183.6,0.48,9.9,139.3,4.1,243.9,40.8,High-Protein,Soy,Heart Healthy
Cucumber (109g),Vegetable,354.2,18.6,8.7,53.0,5.6,560.6,64.0,119.0,1.47,8.1,60.8,1.3,360.5,111.3,Low-Fat,Nuts,Supports Bone Health
Mushroom (86g),Fungus,248.3,23.7,7.3,52.4,3.4,502.8,26.3,366.5,1.68,7.3,73.0,2.5,397.0,85.2,High-Protein,None,Boosts Immunity
Green Peas (100g),Legume,257.9,4.5,6.3,3.6,0.5,511.5,60.8,184.8,0.82,4.1,66.4,0.3,104.0,107.8,Vegetarian,Gluten,Heart Healthy
Potato (109g),Root,59.6,13.9,7.3,57.1,1.9,656.5,75.7,68.2,0.04,1.1,95.3,2.7,159.4,16.2,Vegan,Gluten,Supports Bone Health
Beetroot (102g),Vegetable,123.2,18.0,26.8,32.4,5.4,39.2,57.1,209.1,1.59,6.6,39.8,3.5,180.4,91.7,Vegan,Nuts,Supports Bone Health
Paneer (103g),Dairy,547.1,5.4,0.6,2.6,0.4,656.6,61.2,25.3,2.3,1.1,252.3,3.4,291.0,11.4,Diabetic-Friendly,None,Improves Digestion
Egg (115g),Protein,383.5,15.8,28.0,24.3,5.2,186.7,9.5,129.3,0.04,6.6,13.5,1.1,91.9,100.4,High-Protein,Soy,Improves Digestion
Chickpeas (84g),Legume,533.6,10.6,23.0,30.5,11.9,570.3,71.2,368.9,1.37,2.6,37.5,1.7,254.2,61.3,Vegetarian,Gluten,Supports Bone Health
Watermelon (100g),Fruit,587.3,16.8,2.1,2.0,11.0,359.7,46.0,296.7,1.21,7.1,13.9,0.2,304.8,23.0,Vegetarian,Nuts,Supports Bone Health
Pineapple (85g),Fruit,54.8,9.7,9.0,9.9,2.6,31.3,83.1,239.2,2.27,7.4,105.3,1.5,259.2,115.3,Diabetic-Friendly,Nuts,Improves Digestion
Lentils (Toor Dal) (94g),Legume,511.2,8.6,7.3,32.8,10.9,532.3,22.4,274.9,1.73,6.1,120.6,1.7,179.7,5.9,Low-Fat,None,Supports Bone Health
Brown Rice (120g),Grain,595.4,23.5,3.9,11.2,6.7,636.4,18.4,203.0,1.02,4.7,57.6,1.1,172.5,92.8,High-Protein,Gluten,Energy Boost
Beetroot (120g),Vegetable,136.8,21.6,14.5,57.1,4.4,302.8,42.4,169.1,1.46,4.4,55.2,4.8,195.4,115.5,Low-Fat,None,Improves Digestion
Guava (114g),Fruit,108.6,18.3,7.8,28.4,5.6,300.7,54.5,28.8,0.33,4.7,54.9,1.0,10.1,77.6,High-Protein,Nuts,Heart Healthy
Bitter Gourd (105g),Vegetable,582.9,9.6,14.7,38.8,7.1,327.6,3.5,368.6,0.92,5.7,66.3,2.2,105.8,137.4,High-Protein,Soy,Heart Healthy
Watermelon (103g),Fruit,423.9,16.4,27.8,44.4,3.1,28.6,73.2,252.4,1.62,7.0,197.1,1.4,184.9,103.8,High-Protein,Dairy,Energy Boost
Papaya (90g),Fruit,27.2,19.4,19.4,55.1,4.9,469.3,81.1,207.4,0.45,4.3,250.6,1.3,124.4,145.3,Low-Fat,Soy,Improves Digestion
Bitter Gourd (85g),Vegetable,83.4,14.5,23.9,49.0,3.4,168.4,67.3,279.6,0.02,1.8,152.6,0.6,310.6,65.6,Low-Fat,Gluten,Heart Healthy
Mango (91g),Fruit,237.3,17.7,6.0,11.7,11.4,361.1,73.3,74.3,0.14,1.9,230.2,1.4,361.4,64.3,Diabetic-Friendly,None,Supports Bone Health
Chapati (Whole Wheat) (98g),Grain,69.7,3.6,2.0,2.8,3.0,388.7,68.4,3.8,0.64,9.6,202.9,4.0,21.5,35.6,Vegan,Nuts,Energy Boost
Rajma (Kidney Beans) (97g),Legume,560.6,12.1,10.2,26.3,4.6,712.2,90.0,326.7,2.26,6.7,119.7,0.4,145.6,52.9,Vegan,None,Heart Healthy
Bottle Gourd (88g),Vegetable,34.9,3.5,16.0,57.1,9.1,199.6,40.7,274.5,2.09,5.2,201.5,0.1,257.0,141.6,High-Protein,None,Improves Digestion
Chickpeas (100g),Legume,413.2,6.2,14.6,44.6,9.6,279.3,84.5,376.6,1.14,6.6,212.9,0.6,157.0,93.0,Vegetarian,Soy,Energy Boost
Green Peas (82g),Legume,94.2,20.0,9.1,40.7,6.7,700.0,15.1,178.5,0.28,6.7,79.9,1.1,302.5,100.7,Vegan,None,Heart Healthy
Lentils (Toor Dal) (90g),Legume,558.8,8.5,11.6,17.5,8.7,533.1,85.6,268.2,1.6,9.2,193.7,2.5,319.2,53.3,Vegetarian,Soy,Energy Boost
White Rice (101g),Grain,238.7,18.1,22.1,23.5,7.8,450.0,77.1,323.4,0.54,1.2,35.4,0.5,297.5,140.9,Vegan,Soy,Improves Digestion
Carrot (100g),Vegetable,573.4,14.6,0.2,4.7,6.5,677.8,88.2,127.9,0.88,6.8,241.0,2.6,242.6,37.2,Low-Fat,None,Energy Boost
Cucumber (100g),Vegetable,103.9,23.6,25.1,30.5,5.6,481.6,13.1,266.1,1.92,7.1,183.7,1.6,396.2,22.9,Diabetic-Friendly,Nuts,Supports Bone Health
Potato (98g),Root,428.4,9.7,29.4,20.7,10.0,169.3,65.9,324.2,1.68,0.6,261.0,1.0,197.6,61.8,Vegetarian,None,Energy Boost
Bottle Gourd (101g),Vegetable,265.0,12.1,10.5,24.1,1.0,581.7,25.4,369.2,1.68,5.5,38.2,1.7,317.6,130.5,Vegan,Gluten,Heart Healthy
Muskmelon (90g),Fruit,354.8,11.3,14.5,53.9,2.7,643.7,17.6,260.5,0.87,8.6,39.6,3.9,344.1,59.6,Low-Fat,Dairy,Boosts Immunity
